Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	Confidence
265	Spectrogram 1	1	520.011	520.773	197.2	462.9	humpback_call	0.1794
266	Spectrogram 1	1	521.657	522.908	219.6	479.7	humpback_call	0.3077
267	Spectrogram 1	1	521.975	523.040	54.1	333.0	humpback_call	0.1937
268	Spectrogram 1	1	523.124	524.006	52.5	269.8	humpback_call	0.2846
269	Spectrogram 1	1	526.135	528.003	135.5	493.7	humpback_call	0.3708
270	Spectrogram 1	1	531.064	532.405	148.9	474.2	humpback_call	0.5471
271	Spectrogram 1	1	533.402	534.032	53.2	333.4	humpback_call	0.1638
272	Spectrogram 1	1	534.488	535.000	528.7	897.4	humpback_call	0.1520
273	Spectrogram 1	1	534.874	536.440	54.0	359.6	humpback_call	0.2907
274	Spectrogram 1	1	538.662	539.955	139.7	456.7	humpback_call	0.5839
275	Spectrogram 1	1	542.963	544.028	173.5	455.6	humpback_call	0.4127
276	Spectrogram 1	1	545.614	546.493	53.7	276.5	humpback_call	0.2110
277	Spectrogram 1	1	546.045	547.328	519.5	887.1	humpback_call	0.3643
278	Spectrogram 1	1	546.716	548.266	54.1	398.2	humpback_call	0.2661
279	Spectrogram 1	1	550.442	551.663	141.0	449.0	humpback_call	0.5444
280	Spectrogram 1	1	554.512	555.481	143.0	453.7	humpback_call	0.5713
281	Spectrogram 1	1	556.879	558.121	51.9	293.9	humpback_call	0.2657
282	Spectrogram 1	1	558.153	559.392	68.2	462.2	humpback_call	0.2837
283	Spectrogram 1	1	561.900	563.624	129.4	460.9	humpback_call	0.5791
284	Spectrogram 1	1	566.869	568.103	144.4	451.4	humpback_call	0.5852
285	Spectrogram 1	1	570.287	571.772	54.4	354.2	humpback_call	0.1697
286	Spectrogram 1	1	571.695	572.693	57.8	420.3	humpback_call	0.4090
287	Spectrogram 1	1	574.667	576.148	124.4	454.7	humpback_call	0.5514
288	Spectrogram 1	1	578.892	580.423	117.8	461.9	humpback_call	0.5307
289	Spectrogram 1	1	581.928	583.398	52.2	384.9	humpback_call	0.2062
290	Spectrogram 1	1	582.888	584.286	56.5	459.7	humpback_call	0.2949
291	Spectrogram 1	1	586.588	588.489	107.6	457.2	humpback_call	0.4578
292	Spectrogram 1	1	591.827	592.931	128.1	456.7	humpback_call	0.4599
293	Spectrogram 1	1	595.241	596.342	52.1	343.0	humpback_call	0.3200
294	Spectrogram 1	1	596.543	597.489	60.6	435.5	humpback_call	0.3824
295	Spectrogram 1	1	599.556	601.345	104.8	462.4	humpback_call	0.5087
296	Spectrogram 1	1	603.846	604.913	143.3	454.4	humpback_call	0.5725
297	Spectrogram 1	1	605.020	606.160	162.6	458.6	humpback_call	0.2056
298	Spectrogram 1	1	606.554	607.500	53.4	341.8	humpback_call	0.2107
299	Spectrogram 1	1	607.938	609.475	54.2	406.5	humpback_call	0.1891
300	Spectrogram 1	1	611.601	613.454	97.8	472.2	humpback_call	0.3556
301	Spectrogram 1	1	616.738	617.936	109.4	456.7	humpback_call	0.4529
302	Spectrogram 1	1	617.500	618.436	101.0	436.2	humpback_call	0.1785
303	Spectrogram 1	1	619.132	619.995	54.2	284.4	humpback_call	0.1892
304	Spectrogram 1	1	620.274	621.478	557.8	940.4	humpback_call	0.1543
305	Spectrogram 1	1	621.362	622.228	61.8	461.0	humpback_call	0.3166
306	Spectrogram 1	1	624.358	626.185	110.9	448.9	humpback_call	0.4265
307	Spectrogram 1	1	628.503	629.596	133.1	456.8	humpback_call	0.5793
308	Spectrogram 1	1	631.546	632.500	53.4	416.4	humpback_call	0.3957
309	Spectrogram 1	1	632.241	633.962	55.6	472.4	humpback_call	0.2273
310	Spectrogram 1	1	636.326	638.100	106.7	466.8	humpback_call	0.5191
311	Spectrogram 1	1	641.174	642.602	111.4	462.3	humpback_call	0.4052
312	Spectrogram 1	1	644.106	644.978	54.6	288.3	humpback_call	0.1958
313	Spectrogram 1	1	644.677	645.597	58.3	402.3	humpback_call	0.3361
314	Spectrogram 1	1	645.706	647.157	55.7	474.1	humpback_call	0.3635
315	Spectrogram 1	1	649.242	650.610	109.3	452.6	humpback_call	0.5419
316	Spectrogram 1	1	653.423	654.514	121.6	461.3	humpback_call	0.6038
317	Spectrogram 1	1	657.511	659.041	63.5	438.1	humpback_call	0.3108
318	Spectrogram 1	1	660.823	662.344	115.7	455.3	humpback_call	0.5396
319	Spectrogram 1	1	662.306	663.347	133.2	408.7	humpback_call	0.1828
320	Spectrogram 1	1	664.979	666.732	109.4	474.0	humpback_call	0.5060
321	Spectrogram 1	1	668.258	670.000	53.0	432.6	humpback_call	0.2620
322	Spectrogram 1	1	670.002	670.542	53.8	344.8	humpback_call	0.2050
323	Spectrogram 1	1	672.593	674.451	101.0	468.0	humpback_call	0.4734
324	Spectrogram 1	1	677.557	679.153	116.4	469.4	humpback_call	0.3659
325	Spectrogram 1	1	680.998	682.486	51.8	395.3	humpback_call	0.2619
326	Spectrogram 1	1	682.103	683.527	58.9	430.2	humpback_call	0.2833
327	Spectrogram 1	1	685.332	686.618	132.6	452.0	humpback_call	0.6152
328	Spectrogram 1	1	689.211	690.847	132.0	463.5	humpback_call	0.5475
329	Spectrogram 1	1	691.698	692.500	53.3	277.1	humpback_call	0.1604
330	Spectrogram 1	1	692.450	694.028	62.7	424.1	humpback_call	0.3225
331	Spectrogram 1	1	696.544	697.723	136.1	464.0	humpback_call	0.6051
332	Spectrogram 1	1	697.571	698.596	151.0	404.8	humpback_call	0.3982
333	Spectrogram 1	1	700.252	701.500	147.0	454.6	humpback_call	0.5685
334	Spectrogram 1	1	703.500	704.985	55.9	417.1	humpback_call	0.3844
335	Spectrogram 1	1	707.834	709.710	114.4	458.5	humpback_call	0.5695
336	Spectrogram 1	1	710.008	710.596	126.8	401.0	humpback_call	0.1617
337	Spectrogram 1	1	711.783	712.773	55.4	264.1	humpback_call	0.1539
338	Spectrogram 1	1	712.924	714.195	124.7	462.3	humpback_call	0.4934
339	Spectrogram 1	1	716.367	718.000	64.1	418.5	humpback_call	0.4100
340	Spectrogram 1	1	720.060	721.424	128.9	451.0	humpback_call	0.5416
341	Spectrogram 1	1	724.104	725.982	125.8	469.1	humpback_call	0.5344
342	Spectrogram 1	1	726.726	727.500	54.0	310.1	humpback_call	0.1649
